"Name","Resident Jobs"
"Description","Industry number and percentages refer to the total and share of workers (aged 16 and over) in an industry, by the residence of the jobholder. CCC generated 5-year estimates and coded this variable to correspond with broader categories outlined by the <a href=""https://www.naics.com/naics-code-description/"" target=""_blank"">North American Industry Classification System</a>.&nbsp;<br />
<br />
""Management and Professional Services"" includes workers in Legal Services, Scientific Research and Development, Architectural and Engineering Services, and other professions which tend to require advanced degrees or certificates.<br />
<br />
""Other Services"" includes workers in Auto Repair and Maintenance, Barber Shops, Beauty Salons, and Religious Organizations, among others.<br />
Fort Greene/Brooklyn Hts,Construction and Manufacturing,2010,Number,3230,302
Bedford Stuyvesant,Construction and Manufacturing,2010,Number,4073,303
Bushwick,Construction and Manufacturing,2010,Number,8359,304
East New York,Construction and Manufacturing,2010,Number,6254,305
Park Slope,Construction and Manufacturing,2010,Number,3891,306
Sunset Park,Construction and Manufacturing,2010,Number,11303,307
Crown Heights North,Construction and Manufacturing,2010,Number,3711,308
Crown Heights South,Construction and Manufacturing,2010,Number,3160,309
Bay Ridge,Construction and Manufacturing,2010,Number,7535,310
Bensonhurst,Construction and Manufacturing,2010,Number,12018,311
Borough Park,Construction and Manufacturing,2010,Number,7568,312
Coney Island,Construction and Manufacturing,2010,Number,4677,313
Flatbush/Midwood,Construction and Manufacturing,2010,Number,5906,314
Sheepshead Bay,Construction and Manufacturing,2010,Number,7793,315
Brownsville,Construction and Manufacturing,2010,Number,3522,316
East Flatbush,Construction and Manufacturing,2010,Number,5223,317
Canarsie,Construction and Manufacturing,2010,Number,7309,318
Astoria,Construction and Manufacturing,2010,Number,9879,401
Sunnyside/Woodside,Construction and Manufacturing,2010,Number,8673,402
Jackson Heights,Construction and Manufacturing,2010,Number,15519,403
Elmhurst/Corona,Construction and Manufacturing,2010,Number,11067,404
Ridgewood/Glendale,Construction and Manufacturing,2010,Number,13755,405
Rego Park/Forest Hills,Construction and Manufacturing,2010,Number,4206,406
Flushing,Construction and Manufacturing,2010,Number,14161,407
Fresh Meadows/Briarwood,Construction and Manufacturing,2010,Number,6610,408
Woodhaven,Construction and Manufacturing,2010,Number,8384,409
Howard Beach,Construction and Manufacturing,2010,Number,7693,410
Bayside,Construction and Manufacturing,2010,Number,5517,411
Jamaica/St. Albans,Construction and Manufacturing,2010,Number,8972,412
Queens Village,Construction and Manufacturing,2010,Number,8218,413
The Rockaways,Construction and Manufacturing,2010,Number,3732,414
St. George,Construction and Manufacturing,2010,Number,7589,501
South Beach,Construction and Manufacturing,2010,Number,6313,502
Tottenville,Construction and Manufacturing,2010,Number,7567,503
Bronx,Construction and Manufacturing,2010,Number,50207,36005
Brooklyn,Construction and Manufacturing,2010,Number,113772,36047
Manhattan,Construction and Manufacturing,2010,Number,46486,36061
Queens,Construction and Manufacturing,2010,Number,126386,36081
Staten Island,Construction and Manufacturing,2010,Number,21469,36085
New York City,Construction and Manufacturing,2010,Number,358320,3651000
Battery Park/Tribeca,Construction and Manufacturing,2010,Percent,0.05561,101
Greenwich Village,Construction and Manufacturing,2010,Percent,0.05561,102
Lower East Side,Construction and Manufacturing,2010,Percent,0.07139,103
Chelsea/Clinton,Construction and Manufacturing,2010,Percent,0.04645,104
Midtown Business District,Construction and Manufacturing,2010,Percent,0.04645,105
Murray Hill/Stuyvesant,Construction and Manufacturing,2010,Percent,0.04468,106
Upper West Side,Construction and Manufacturing,2010,Percent,0.04195,107
Upper East Side,Construction and Manufacturing,2010,Percent,0.04345,108
Manhattanville,Construction and Manufacturing,2010,Percent,0.05685,109
Central Harlem,Construction and Manufacturing,2010,Percent,0.05346,110
East Harlem,Construction and Manufacturing,2010,Percent,0.04874,111
Washington Heights,Construction and Manufacturing,2010,Percent,0.09042,112
Mott Haven,Construction and Manufacturing,2010,Percent,0.1163,201
Hunts Point,Construction and Manufacturing,2010,Percent,0.1163,202
Morrisania,Construction and Manufacturing,2010,Percent,0.08838,203
Concourse/Highbridge,Construction and Manufacturing,2010,Percent,0.10319,204
University Heights,Construction and Manufacturing,2010,Percent,0.09486,205
East Tremont,Construction and Manufacturing,2010,Percent,0.08838,206
Bedford Park,Construction and Manufacturing,2010,Percent,0.09631,207
Riverdale,Construction and Manufacturing,2010,Percent,0.06929,208
Unionport/Soundview,Construction and Manufacturing,2010,Percent,0.10214,209
Throgs Neck,Construction and Manufacturing,2010,Percent,0.08569,210
Pelham Parkway,Construction and Manufacturing,2010,Percent,0.09429,211
Williamsbridge,Construction and Manufacturing,2010,Percent,0.08399,212
Williamsburg/Greenpoint,Construction and Manufacturing,2010,Percent,0.12284,301
Fort Greene/Brooklyn Hts,Construction and Manufacturing,2010,Percent,0.05236,302
Bedford Stuyvesant,Construction and Manufacturing,2010,Percent,0.08167,303
Bushwick,Construction and Manufacturing,2010,Percent,0.15552,304
East New York,Construction and Manufacturing,2010,Percent,0.10729,305
Park Slope,Construction and Manufacturing,2010,Percent,0.05936,306
Sunset Park,Construction and Manufacturing,2010,Percent,0.16251,307
Crown Heights North,Construction and Manufacturing,2010,Percent,0.06669,308
Crown Heights South,Construction and Manufacturing,2010,Percent,0.06389,309
Bay Ridge,Construction and Manufacturing,2010,Percent,0.13223,310
Bensonhurst,Construction and Manufacturing,2010,Percent,0.16538,311
Borough Park,Construction and Manufacturing,2010,Percent,0.13138,312
Coney Island,Construction and Manufacturing,2010,Percent,0.11692,313
Flatbush/Midwood,Construction and Manufacturing,2010,Percent,0.0866,314
Sheepshead Bay,Construction and Manufacturing,2010,Percent,0.12927,315
Brownsville,Construction and Manufacturing,2010,Percent,0.08945,316
East Flatbush,Construction and Manufacturing,2010,Percent,0.07984,317
Canarsie,Construction and Manufacturing,2010,Percent,0.07716,318
Astoria,Construction and Manufacturing,2010,Percent,0.10914,401
Sunnyside/Woodside,Construction and Manufacturing,2010,Percent,0.12663,402
Jackson Heights,Construction and Manufacturing,2010,Percent,0.17057,403
Elmhurst/Corona,Construction and Manufacturing,2010,Percent,0.16669,404
Ridgewood/Glendale,Construction and Manufacturing,2010,Percent,0.17247,405
Rego Park/Forest Hills,Construction and Manufacturing,2010,Percent,0.07309,406
Flushing,Construction and Manufacturing,2010,Percent,0.1195,407
Fresh Meadows/Briarwood,Construction and Manufacturing,2010,Percent,0.09336,408
Woodhaven,Construction and Manufacturing,2010,Percent,0.12509,409
Howard Beach,Construction and Manufacturing,2010,Percent,0.13156,410
Bayside,Construction and Manufacturing,2010,Percent,0.09556,411
Jamaica/St. Albans,Construction and Manufacturing,2010,Percent,0.09238,412
Queens Village,Construction and Manufacturing,2010,Percent,0.08287,413
The Rockaways,Construction and Manufacturing,2010,Percent,0.08587,414
St. George,Construction and Manufacturing,2010,Percent,0.10192,501
South Beach,Construction and Manufacturing,2010,Percent,0.10633,502
Tottenville,Construction and Manufacturing,2010,Percent,0.10218,503
Bronx,Construction and Manufacturing,2010,Percent,0.09348,36005
Brooklyn,Construction and Manufacturing,2010,Percent,0.10475,36047
Manhattan,Construction and Manufacturing,2010,Percent,0.05482,36061
Queens,Construction and Manufacturing,2010,Percent,0.11856,36081
Staten Island,Construction and Manufacturing,2010,Percent,0.10327,36085
New York City,Construction and Manufacturing,2010,Percent,0.09568,3651000
Battery Park/Tribeca,Education,2010,Number,3517.07619,101
Greenwich Village,Education,2010,Number,5191.92381,102
Lower East Side,Education,2010,Number,5739,103
Chelsea/Clinton,Education,2010,Number,4500.53244,104
Midtown Business District,Education,2010,Number,2252.46756,105
Murray Hill/Stuyvesant,Education,2010,Number,6649,106
Upper West Side,Education,2010,Number,12455,107
Upper East Side,Education,2010,Number,11148,108
Manhattanville,Education,2010,Number,11171,109
Central Harlem,Education,2010,Number,5300,110
East Harlem,Education,2010,Number,3998,111
Washington Heights,Education,2010,Number,10749,112
Mott Haven,Education,2010,Number,2106.92048,201
Hunts Point,Education,2010,Number,1203.07952,202
Morrisania,Education,2010,Number,2014.7207,203
Concourse/Highbridge,Education,2010,Number,3186,204
University Heights,Education,2010,Number,3257,205
East Tremont,Education,2010,Number,2103.2793,206
Bedford Park,Education,2010,Number,3478,207
Riverdale,Education,2010,Number,7378,208
Unionport/Soundview,Education,2010,Number,6445,209
Throgs Neck,Education,2010,Number,6531,210
Pelham Parkway,Education,2010,Number,5967,211
Williamsbridge,Education,2010,Number,5268,212
Williamsburg/Greenpoint,Education,2010,Number,6486,301
Fort Greene/Brooklyn Hts,Education,2010,Number,7736,302
Bedford Stuyvesant,Education,2010,Number,4719,303
Bushwick,Education,2010,Number,3108,304
East New York,Education,2010,Number,3832,305
Park Slope,Education,2010,Number,8219,306
Sunset Park,Education,2010,Number,5569,307
Crown Heights North,Education,2010,Number,5849,308
Crown Heights South,Education,2010,Number,4294,309
Bay Ridge,Education,2010,Number,6193,310
Bensonhurst,Education,2010,Number,5177,311
Borough Park,Education,2010,Number,8474,312
Coney Island,Education,2010,Number,2870,313
Flatbush/Midwood,Education,2010,Number,6733,314
Sheepshead Bay,Education,2010,Number,5829,315
Brownsville,Education,2010,Number,2863,316
East Flatbush,Education,2010,Number,4487,317
Canarsie,Education,2010,Number,9633,318
Astoria,Education,2010,Number,7848,401
Sunnyside/Woodside,Education,2010,Number,4087,402
Jackson Heights,Education,2010,Number,4302,403
Elmhurst/Corona,Education,2010,Number,2435,404
Ridgewood/Glendale,Education,2010,Number,6435,405
Rego Park/Forest Hills,Education,2010,Number,4718,406
Flushing,Education,2010,Number,8952,407
Fresh Meadows/Briarwood,Education,2010,Number,7097,408
Woodhaven,Education,2010,Number,4643,409
Howard Beach,Education,2010,Number,4475,410
Bayside,Education,2010,Number,6555,411
Jamaica/St. Albans,Education,2010,Number,6764,412
Queens Village,Education,2010,Number,8409,413
The Rockaways,Education,2010,Number,4798,414
St. George,Education,2010,Number,7427,501
South Beach,Education,2010,Number,5576,502
Tottenville,Education,2010,Number,8330,503
Bronx,Education,2010,Number,48938,36005
Brooklyn,Education,2010,Number,102071,36047
Manhattan,Education,2010,Number,82671,36061
Queens,Education,2010,Number,81518,36081
Staten Island,Education,2010,Number,21333,36085
New York City,Education,2010,Number,336531,3651000
Battery Park/Tribeca,Education,2010,Percent,0.09694,101
Greenwich Village,Education,2010,Percent,0.09694,102
Lower East Side,Education,2010,Percent,0.07174,103
Chelsea/Clinton,Education,2010,Percent,0.07567,104
Midtown Business District,Education,2010,Percent,0.07567,105
Murray Hill/Stuyvesant,Education,2010,Percent,0.06937,106
Upper West Side,Education,2010,Percent,0.11071,107
Upper East Side,Education,2010,Percent,0.08664,108
Manhattanville,Education,2010,Percent,0.1977,109
Central Harlem,Education,2010,Percent,0.10259,110
East Harlem,Education,2010,Percent,0.08633,111
Washington Heights,Education,2010,Percent,0.11031,112
Mott Haven,Education,2010,Percent,0.07108,201
Hunts Point,Education,2010,Percent,0.07108,202
Morrisania,Education,2010,Percent,0.08311,203
Concourse/Highbridge,Education,2010,Percent,0.06094,204
University Heights,Education,2010,Percent,0.06396,205
East Tremont,Education,2010,Percent,0.08311,206
Bedford Park,Education,2010,Percent,0.07073,207
Riverdale,Education,2010,Percent,0.14823,208
Unionport/Soundview,Education,2010,Percent,0.08908,209
Throgs Neck,Education,2010,Percent,0.12909,210
Pelham Parkway,Education,2010,Percent,0.11269,211
Williamsbridge,Education,2010,Percent,0.08375,212
Williamsburg/Greenpoint,Education,2010,Percent,0.09669,301
Fort Greene/Brooklyn Hts,Education,2010,Percent,0.1254,302
Bedford Stuyvesant,Education,2010,Percent,0.09462,303
Bushwick,Education,2010,Percent,0.05783,304
East New York,Education,2010,Percent,0.06574,305
Park Slope,Education,2010,Percent,0.12538,306
Sunset Park,Education,2010,Percent,0.08007,307
Crown Heights North,Education,2010,Percent,0.10511,308
Crown Heights South,Education,2010,Percent,0.08681,309
Bay Ridge,Education,2010,Percent,0.10868,310
Bensonhurst,Education,2010,Percent,0.07124,311
Borough Park,Education,2010,Percent,0.1471,312
Coney Island,Education,2010,Percent,0.07174,313
Flatbush/Midwood,Education,2010,Percent,0.09873,314
Sheepshead Bay,Education,2010,Percent,0.09669,315
Brownsville,Education,2010,Percent,0.07272,316
East Flatbush,Education,2010,Percent,0.06859,317
Canarsie,Education,2010,Percent,0.10169,318
Astoria,Education,2010,Percent,0.0867,401
Sunnyside/Woodside,Education,2010,Percent,0.05967,402
Jackson Heights,Education,2010,Percent,0.04728,403
Elmhurst/Corona,Education,2010,Percent,0.03668,404
Ridgewood/Glendale,Education,2010,Percent,0.08069,405
Rego Park/Forest Hills,Education,2010,Percent,0.08199,406
Flushing,Education,2010,Percent,0.07554,407
Fresh Meadows/Briarwood,Education,2010,Percent,0.10023,408
Woodhaven,Education,2010,Percent,0.06927,409
Howard Beach,Education,2010,Percent,0.07653,410
Bayside,Education,2010,Percent,0.11354,411
Jamaica/St. Albans,Education,2010,Percent,0.06964,412
Queens Village,Education,2010,Percent,0.08479,413
The Rockaways,Education,2010,Percent,0.1104,414
St. George,Education,2010,Percent,0.09974,501
South Beach,Education,2010,Percent,0.09392,502
Tottenville,Education,2010,Percent,0.11248,503
Bronx,Education,2010,Percent,0.09112,36005
Brooklyn,Education,2010,Percent,0.09397,36047
Manhattan,Education,2010,Percent,0.09749,36061
Queens,Education,2010,Percent,0.07647,36081
Staten Island,Education,2010,Percent,0.10262,36085
New York City,Education,2010,Percent,0.08986,3651000
Battery Park/Tribeca,Health Care and Social Services,2010,Number,2273.64094,101
Greenwich Village,Health Care and Social Services,2010,Number,3356.35906,102
Lower East Side,Health Care and Social Services,2010,Number,8537,103
Chelsea/Clinton,Health Care and Social Services,2010,Number,4835.09002,104
Midtown Business District,Health Care and Social Services,2010,Number,2419.90998,105
Murray Hill/Stuyvesant,Health Care and Social Services,2010,Number,8003,106
Upper West Side,Health Care and Social Services,2010,Number,13662,107
Upper East Side,Health Care and Social Services,2010,Number,16561,108
Manhattanville,Health Care and Social Services,2010,Number,8012,109
Central Harlem,Health Care and Social Services,2010,Number,10118,110
East Harlem,Health Care and Social Services,2010,Number,9951,111
Washington Heights,Health Care and Social Services,2010,Number,16042,112
Mott Haven,Health Care and Social Services,2010,Number,6662.57904,201
Hunts Point,Health Care and Social Services,2010,Number,3804.42096,202
Morrisania,Health Care and Social Services,2010,Number,5870.47929,203
Concourse/Highbridge,Health Care and Social Services,2010,Number,11563,204
University Heights,Health Care and Social Services,2010,Number,11727,205
East Tremont,Health Care and Social Services,2010,Number,6128.52071,206
Bedford Park,Health Care and Social Services,2010,Number,9961,207
Riverdale,Health Care and Social Services,2010,Number,9861,208
Unionport/Soundview,Health Care and Social Services,2010,Number,16776,209
Throgs Neck,Health Care and Social Services,2010,Number,10340,210
Pelham Parkway,Health Care and Social Services,2010,Number,11924,211
Williamsbridge,Health Care and Social Services,2010,Number,20098,212
Williamsburg/Greenpoint,Health Care and Social Services,2010,Number,6386,301
Fort Greene/Brooklyn Hts,Health Care and Social Services,2010,Number,7249,302
Bedford Stuyvesant,Health Care and Social Services,2010,Number,10341,303
Bushwick,Health Care and Social Services,2010,Number,8536,304
East New York,Health Care and Social Services,2010,Number,13520,305
Park Slope,Health Care and Social Services,2010,Number,6856,306
Sunset Park,Health Care and Social Services,2010,Number,7923,307
Crown Heights North,Health Care and Social Services,2010,Number,11327,308
Crown Heights South,Health Care and Social Services,2010,Number,13715,309
Bay Ridge,Health Care and Social Services,2010,Number,8116,310
Bensonhurst,Health Care and Social Services,2010,Number,8665,311
Borough Park,Health Care and Social Services,2010,Number,8032,312
Coney Island,Health Care and Social Services,2010,Number,8791,313
Flatbush/Midwood,Health Care and Social Services,2010,Number,14953,314
Sheepshead Bay,Health Care and Social Services,2010,Number,10623,315
Brownsville,Health Care and Social Services,2010,Number,10701,316
East Flatbush,Health Care and Social Services,2010,Number,20197,317
Canarsie,Health Care and Social Services,2010,Number,25202,318
Astoria,Health Care and Social Services,2010,Number,9032,401
Sunnyside/Woodside,Health Care and Social Services,2010,Number,7072,402
Jackson Heights,Health Care and Social Services,2010,Number,9226,403
Elmhurst/Corona,Health Care and Social Services,2010,Number,7670,404
Ridgewood/Glendale,Health Care and Social Services,2010,Number,9692,405
Rego Park/Forest Hills,Health Care and Social Services,2010,Number,8934,406
Flushing,Health Care and Social Services,2010,Number,13722,407
Fresh Meadows/Briarwood,Health Care and Social Services,2010,Number,11723,408
Woodhaven,Health Care and Social Services,2010,Number,10576,409
Howard Beach,Health Care and Social Services,2010,Number,8747,410
Bayside,Health Care and Social Services,2010,Number,7137,411
Jamaica/St. Albans,Health Care and Social Services,2010,Number,22961,412
Queens Village,Health Care and Social Services,2010,Number,23807,413
The Rockaways,Health Care and Social Services,2010,Number,9932,414
St. George,Health Care and Social Services,2010,Number,15099,501
South Beach,Health Care and Social Services,2010,Number,9816,502
Tottenville,Health Care and Social Services,2010,Number,9891,503
Bronx,Health Care and Social Services,2010,Number,124716,36005
Brooklyn,Health Care and Social Services,2010,Number,201133,36047
Manhattan,Health Care and Social Services,2010,Number,103771,36061
Queens,Health Care and Social Services,2010,Number,160231,36081
Staten Island,Health Care and Social Services,2010,Number,34806,36085
New York City,Health Care and Social Services,2010,Number,624657,3651000
Battery Park/Tribeca,Health Care and Social Services,2010,Percent,0.06267,101
Greenwich Village,Health Care and Social Services,2010,Percent,0.06267,102
Lower East Side,Health Care and Social Services,2010,Percent,0.10672,103
Chelsea/Clinton,Health Care and Social Services,2010,Percent,0.0813,104
Midtown Business District,Health Care and Social Services,2010,Percent,0.0813,105
Murray Hill/Stuyvesant,Health Care and Social Services,2010,Percent,0.08349,106
Upper West Side,Health Care and Social Services,2010,Percent,0.12144,107
Upper East Side,Health Care and Social Services,2010,Percent,0.12871,108
Manhattanville,Health Care and Social Services,2010,Percent,0.1418,109
Central Harlem,Health Care and Social Services,2010,Percent,0.19586,110
East Harlem,Health Care and Social Services,2010,Percent,0.21488,111
Washington Heights,Health Care and Social Services,2010,Percent,0.16462,112
Mott Haven,Health Care and Social Services,2010,Percent,0.22476,201
Hunts Point,Health Care and Social Services,2010,Percent,0.22476,202
Morrisania,Health Care and Social Services,2010,Percent,0.24217,203
Concourse/Highbridge,Health Care and Social Services,2010,Percent,0.22117,204
University Heights,Health Care and Social Services,2010,Percent,0.23028,205
East Tremont,Health Care and Social Services,2010,Percent,0.24217,206
Bedford Park,Health Care and Social Services,2010,Percent,0.20257,207
Riverdale,Health Care and Social Services,2010,Percent,0.19811,208
Unionport/Soundview,Health Care and Social Services,2010,Percent,0.23187,209
Throgs Neck,Health Care and Social Services,2010,Percent,0.20438,210
Pelham Parkway,Health Care and Social Services,2010,Percent,0.22519,211
Williamsbridge,Health Care and Social Services,2010,Percent,0.31951,212
Williamsburg/Greenpoint,Health Care and Social Services,2010,Percent,0.0952,301
Fort Greene/Brooklyn Hts,Health Care and Social Services,2010,Percent,0.1175,302
Bedford Stuyvesant,Health Care and Social Services,2010,Percent,0.20735,303
Bushwick,Health Care and Social Services,2010,Percent,0.15882,304
East New York,Health Care and Social Services,2010,Percent,0.23195,305
Park Slope,Health Care and Social Services,2010,Percent,0.10459,306
Sunset Park,Health Care and Social Services,2010,Percent,0.11391,307
Crown Heights North,Health Care and Social Services,2010,Percent,0.20355,308
Crown Heights South,Health Care and Social Services,2010,Percent,0.27728,309
Bay Ridge,Health Care and Social Services,2010,Percent,0.14243,310
Bensonhurst,Health Care and Social Services,2010,Percent,0.11924,311
Borough Park,Health Care and Social Services,2010,Percent,0.13943,312
Coney Island,Health Care and Social Services,2010,Percent,0.21976,313
Flatbush/Midwood,Health Care and Social Services,2010,Percent,0.21926,314
Sheepshead Bay,Health Care and Social Services,2010,Percent,0.17622,315
Brownsville,Health Care and Social Services,2010,Percent,0.27179,316
East Flatbush,Health Care and Social Services,2010,Percent,0.30872,317
Canarsie,Health Care and Social Services,2010,Percent,0.26605,318
Astoria,Health Care and Social Services,2010,Percent,0.09978,401
Sunnyside/Woodside,Health Care and Social Services,2010,Percent,0.10326,402
Jackson Heights,Health Care and Social Services,2010,Percent,0.1014,403
Elmhurst/Corona,Health Care and Social Services,2010,Percent,0.11553,404
Ridgewood/Glendale,Health Care and Social Services,2010,Percent,0.12153,405
Rego Park/Forest Hills,Health Care and Social Services,2010,Percent,0.15526,406
Flushing,Health Care and Social Services,2010,Percent,0.11579,407
Fresh Meadows/Briarwood,Health Care and Social Services,2010,Percent,0.16557,408
Woodhaven,Health Care and Social Services,2010,Percent,0.15779,409
Howard Beach,Health Care and Social Services,2010,Percent,0.14958,410
Bayside,Health Care and Social Services,2010,Percent,0.12362,411
Jamaica/St. Albans,Health Care and Social Services,2010,Percent,0.23641,412
Queens Village,Health Care and Social Services,2010,Percent,0.24006,413
The Rockaways,Health Care and Social Services,2010,Percent,0.22853,414
St. George,Health Care and Social Services,2010,Percent,0.20278,501
South Beach,Health Care and Social Services,2010,Percent,0.16534,502
Tottenville,Health Care and Social Services,2010,Percent,0.13356,503
Bronx,Health Care and Social Services,2010,Percent,0.23222,36005
Brooklyn,Health Care and Social Services,2010,Percent,0.18518,36047
Manhattan,Health Care and Social Services,2010,Percent,0.12237,36061
Queens,Health Care and Social Services,2010,Percent,0.15031,36081
Staten Island,Health Care and Social Services,2010,Percent,0.16743,36085
New York City,Health Care and Social Services,2010,Percent,0.16679,3651000
Battery Park/Tribeca,"Hospitality, Accommodation, Restaurants",2010,Number,3408.84603,101
Greenwich Village,"Hospitality, Accommodation, Restaurants",2010,Number,5032.15397,102
Lower East Side,"Hospitality, Accommodation, Restaurants",2010,Number,12789,103
Chelsea/Clinton,"Hospitality, Accommodation, Restaurants",2010,Number,7206.31679,104
Midtown Business District,"Hospitality, Accommodation, Restaurants",2010,Number,3606.68321,105
Murray Hill/Stuyvesant,"Hospitality, Accommodation, Restaurants",2010,Number,6590,106
Upper West Side,"Hospitality, Accommodation, Restaurants",2010,Number,9713,107
Upper East Side,"Hospitality, Accommodation, Restaurants",2010,Number,7898,108
Manhattanville,"Hospitality, Accommodation, Restaurants",2010,Number,7865,109
Central Harlem,"Hospitality, Accommodation, Restaurants",2010,Number,4831,110
East Harlem,"Hospitality, Accommodation, Restaurants",2010,Number,7615,111
Washington Heights,"Hospitality, Accommodation, Restaurants",2010,Number,13646,112
Mott Haven,"Hospitality, Accommodation, Restaurants",2010,Number,3817.2816,201
Hunts Point,"Hospitality, Accommodation, Restaurants",2010,Number,2179.7184,202
Morrisania,"Hospitality, Accommodation, Restaurants",2010,Number,2393.88742,203
Concourse/Highbridge,"Hospitality, Accommodation, Restaurants",2010,Number,6445,204
University Heights,"Hospitality, Accommodation, Restaurants",2010,Number,6250,205
East Tremont,"Hospitality, Accommodation, Restaurants",2010,Number,2499.11258,206
Bedford Park,"Hospitality, Accommodation, Restaurants",2010,Number,5348,207
Riverdale,"Hospitality, Accommodation, Restaurants",2010,Number,4453,208
Unionport/Soundview,"Hospitality, Accommodation, Restaurants",2010,Number,6522,209
Throgs Neck,"Hospitality, Accommodation, Restaurants",2010,Number,3048,210
Pelham Parkway,"Hospitality, Accommodation, Restaurants",2010,Number,5118,211
Williamsbridge,"Hospitality, Accommodation, Restaurants",2010,Number,3974,212
Williamsburg/Greenpoint,"Hospitality, Accommodation, Restaurants",2010,Number,9900,301
Fort Greene/Brooklyn Hts,"Hospitality, Accommodation, Restaurants",2010,Number,5975,302
Bedford Stuyvesant,"Hospitality, Accommodation, Restaurants",2010,Number,4098,303
Bushwick,"Hospitality, Accommodation, Restaurants",2010,Number,6444,304
East New York,"Hospitality, Accommodation, Restaurants",2010,Number,4119,305
Park Slope,"Hospitality, Accommodation, Restaurants",2010,Number,6012,306
Sunset Park,"Hospitality, Accommodation, Restaurants",2010,Number,13720,307
Crown Heights North,"Hospitality, Accommodation, Restaurants",2010,Number,4502,308
Crown Heights South,"Hospitality, Accommodation, Restaurants",2010,Number,3465,309
Bay Ridge,"Hospitality, Accommodation, Restaurants",2010,Number,4866,310
Bensonhurst,"Hospitality, Accommodation, Restaurants",2010,Number,7221,311
Borough Park,"Hospitality, Accommodation, Restaurants",2010,Number,4401,312
Coney Island,"Hospitality, Accommodation, Restaurants",2010,Number,2766,313
Flatbush/Midwood,"Hospitality, Accommodation, Restaurants",2010,Number,4878,314
Sheepshead Bay,"Hospitality, Accommodation, Restaurants",2010,Number,3684,315
Brownsville,"Hospitality, Accommodation, Restaurants",2010,Number,2268,316
East Flatbush,"Hospitality, Accommodation, Restaurants",2010,Number,3132,317
Canarsie,"Hospitality, Accommodation, Restaurants",2010,Number,4823,318
Astoria,"Hospitality, Accommodation, Restaurants",2010,Number,14396,401
Sunnyside/Woodside,"Hospitality, Accommodation, Restaurants",2010,Number,10647,402
Jackson Heights,"Hospitality, Accommodation, Restaurants",2010,Number,15695,403
Elmhurst/Corona,"Hospitality, Accommodation, Restaurants",2010,Number,12240,404
Ridgewood/Glendale,"Hospitality, Accommodation, Restaurants",2010,Number,6864,405
Rego Park/Forest Hills,"Hospitality, Accommodation, Restaurants",2010,Number,3377,406
Flushing,"Hospitality, Accommodation, Restaurants",2010,Number,14457,407
