250,259,19,1062
171,9,19,1702
33,81,19,28
179,259,19,19
160,175,19,40
9,175,19,706
15,171,19,1502
141,259,19,100
46,254,19,35
193,73,19,12
163,254,19,83
152,92,19,130
165,73,19,4
83,92,19,613
136,259,19,997
68,254,19,171
81,254,19,9129
36,81,19,13
209,175,19,5
61,81,19,39
183,192,19,24
210,254,19,9
171,73,19,3694
255,92,19,99
233,53,19,48
29,254,19,8
240,254,19,2840
189,254,19,7
215,53,19,119
88,81,19,111
131,15,19,112
254,15,19,6
9,171,19,3566
229,15,19,20
173,81,19,16
55,64,19,2
203,252,19,17
102,16,19,38
209,259,19,80
163,53,19,33
209,81,19,133
208,252,19,109
183,81,19,913
97,254,19,45
101,171,19,104
143,214,19,89
47,92,19,202
121,192,19,1558
163,175,19,56
170,15,19,149
72,259,19,25
236,81,19,58
87,81,19,62
98,16,19,1342
9,53,19,516
53,252,19,1670
137,192,19,163
169,254,19,1380
82,254,19,53
136,81,19,772
17,254,19,21
197,53,19,186
177,171,19,19
66,92,19,35
139,92,19,90
210,64,19,3
66,259,19,11
132,171,19,1284
131,92,19,420
7,254,19,54
229,16,19,28
143,73,19,27
38,92,19,39
150,254,19,3
73,16,19,526
250,81,19,988
141,252,19,52
119,259,19,374
68,214,19,31
95,16,19,619
69,254,19,1618
154,259,19,4
9,64,19,173
145,64,19,45
254,64,19,4
262,92,19,98
243,254,19,669
6,6,19,983
264,16,19,27
146,175,19,32
198,254,19,6
41,81,19,342
119,252,19,8
75,15,19,79
85,92,19,5
203,92,19,109
53,73,19,680
260,92,19,493
191,259,19,17
123,73,19,3
97,92,19,97
138,16,19,2274
11,259,19,1
26,259,19,4
64,92,19,301
80,254,19,24
48,15,19,33
81,214,19,1
16,9,19,2659
51,81,19,10179
56,171,19,551
51,92,19,126
113,92,19,86
143,15,19,3
169,92,19,89
65,175,19,69
229,259,19,121
43,81,19,17
58,259,19,36
224,175,19,9
10,254,19,76
78,92,19,40
138,254,19,826
230,254,19,109
198,16,19,84
107,192,19,44
92,253,19,115
233,171,19,76
138,53,19,2162
61,92,19,218
263,171,19,283
82,259,19,63
124,16,19,10
188,259,19,7
186,192,19,52
213,254,19,2170
181,254,19,24
16,15,19,7299
64,254,19,18
248,252,19,16
259,175,19,6
56,9,19,232
152,254,19,361
232,252,19,9
70,53,19,484
92,16,19,5235
215,192,19,136
223,73,19,187
250,92,19,50
161,81,19,146
218,171,19,9
10,16,19,46
48,16,19,45
233,16,19,52
15,9,19,569
179,192,19,293
25,259,19,18
66,81,19,16
92,192,19,10924
143,92,19,42
167,81,19,524
142,259,19,248
17,252,19,24
126,214,19,2
122,92,19,47
131,64,19,225
64,15,19,147
67,254,19,3
163,171,19,271
146,92,19,281
146,81,19,79
70,92,19,839
132,92,19,3886
130,175,19,643
107,92,19,339
93,15,19,178
130,9,19,627
161,16,19,150
185,259,19,1712
55,259,19,19
158,259,19,26
32,254,19,4350
175,16,19,2266
224,254,19,9
134,9,19,144
134,171,19,317
143,259,19,107
70,192,19,323
168,53,19,48
54,53,19,2
74,259,19,331
192,53,19,589
179,252,19,269
61,254,19,69
132,15,19,1102
129,253,19,24
191,73,19,85
248,81,19,415
175,92,19,1345
56,92,19,1582
41,254,19,523
238,254,19,117
25,9,19,15
68,259,19,76
46,259,19,9
145,175,19,126
136,254,19,2093
76,214,19,6
12,259,19,3
16,192,19,823
205,254,19,36
140,175,19,51
130,53,19,676
33,92,19,50
188,15,19,10
101,15,19,309
87,9,19,65
254,73,19,5
208,254,19,1243
129,81,19,144
68,81,19,106
7,64,19,100
7,259,19,34
29,92,19,16
167,53,19,17
242,252,19,51
55,118,19,51
15,15,19,888
17,92,19,36
7,252,19,538
239,92,19,44
167,254,19,1196
177,254,19,51
192,252,19,473
223,192,19,377
171,171,19,7782
130,171,19,698
86,81,19,15
165,92,19,14
264,64,19,2
76,254,19,69
133,92,19,19
216,171,19,147
